# LF_DEM version v2.0-636-g20f1877-dirty
# np 200
# VF 0.45
# Lx 13.9626
# Ly 13.9626
# Lz 13.9626
# data in repulsion units.
#1: time
#2: shear strain
#3: shear rate
#4-9: total stress tensor (xx, xy, xz, yz, yy, zz)
#10-15: hydro stress tensor (xx, xy, xz, yz, yy, zz)
#16-21: contact stress tensor (xx, xy, xz, yz, yy, zz)
#22-27: repulsive stress tensor (xx, xy, xz, yz, yy, zz)
#28-33: brownian stress tensor (xx, xy, xz, yz, yy, zz)

0 0 1.08058 -0.233917 -0.0923084 5 -0.0994639 -0.0539759 -0.12282  -0.222399 -0.0929306 5.00029 -0.0984769 -0.0417666 -0.109954  0 0 0 0 0 0  -0.0115184 0.000622206 -0.000290955 -0.000986995 -0.0122094 -0.0128659  0 0 0 0 0 0  
0.00092543 0.001 1.08057 -0.240948 -0.09205 5 -0.0991027 -0.0587135 -0.131051  -0.229448 -0.0926774 5.00017 -0.0981154 -0.0465132 -0.118208  0 0 0 0 0 0  -0.0115007 0.000627435 -0.000172843 -0.000987343 -0.0122002 -0.0128425  0 0 0 0 0 0  
0.00185087 0.002 1.08056 -0.247975 -0.0917944 5 -0.0987454 -0.063447 -0.13927  -0.236489 -0.0924272 5.00006 -0.0977577 -0.0512539 -0.126447  0 0 0 0 0 0  -0.011486 0.000632745 -5.52752e-05 -0.000987706 -0.0121932 -0.0128227  0 0 0 0 0 0  
0.00277632 0.003 1.08054 -0.254997 -0.0915416 5 -0.098392 -0.0681767 -0.147477  -0.243522 -0.0921797 4.99994 -0.0974039 -0.0559885 -0.134671  0 0 0 0 0 0  -0.0114741 0.000638134 6.17759e-05 -0.000988087 -0.0121882 -0.0128063  0 0 0 0 0 0  
0.00370179 0.004 1.08051 -0.262013 -0.0912914 5 -0.0980424 -0.0729025 -0.155673  -0.250548 -0.091935 4.99982 -0.0970539 -0.0607172 -0.142879  0 0 0 0 0 0  -0.0114651 0.000643601 0.000178338 -0.00098849 -0.0121853 -0.0127935  0 0 0 0 0 0  
0.00462728 0.005 1.08049 -0.269024 -0.0910439 5 -0.0976966 -0.0776246 -0.163857  -0.257565 -0.091693 4.99971 -0.0967077 -0.0654402 -0.151072  0 0 0 0 0 0  -0.011459 0.000649144 0.00029444 -0.000988919 -0.0121844 -0.0127842  0 0 0 0 0 0  
0.00555204 0.006 1.08073 -0.286892 -0.09334 5 -0.089967 -0.0906412 -0.192632  -0.275439 -0.0939929 4.99958 -0.0889778 -0.078452 -0.179852  0 0 0 0 0 0  -0.0114531 0.000652879 0.000418371 -0.000989261 -0.0121892 -0.01278  0 0 0 0 0 0  
0.00647736 0.007 1.0801 -0.294765 -0.090432 5 -0.0946087 -0.107643 -0.205077  -0.283311 -0.09109 4.99946 -0.0935987 -0.0953978 -0.192284  0 0 0 0 0 0  -0.0114543 0.000657949 0.000541033 -0.00101 -0.0122454 -0.0127928  0 0 0 0 0 0  
0.00740321 0.008 1.0812 -0.307909 -0.0868351 5 -0.0921697 -0.114829 -0.216709  -0.296449 -0.0875007 4.99935 -0.0911609 -0.102576 -0.203911  0 0 0 0 0 0  -0.0114602 0.000665533 0.000653159 -0.00100881 -0.0122527 -0.0127972  0 0 0 0 0 0  
0.00832812 0.009 1.08114 -0.314942 -0.0866048 5 -0.0918411 -0.119539 -0.224857  -0.303476 -0.087276 4.99923 -0.0908314 -0.107279 -0.212054  0 0 0 0 0 0  -0.0114654 0.000671227 0.000768055 -0.00100974 -0.0122609 -0.0128024  0 0 0 0 0 0  
0.00925308 0.01 1.08108 -0.321969 -0.086377 5 -0.091516 -0.124247 -0.232993  -0.310495 -0.087054 4.99912 -0.0905053 -0.111975 -0.220182  0 0 0 0 0 0  -0.0114735 0.000676993 0.000882638 -0.00101072 -0.0122712 -0.012811  0 0 0 0 0 0  
